N,Similarity,Favor Popular,MAE,Precision,Recall
5,cosine,,1.8439943558595782,0.005819479540035635,0.022467665567213076
5,cosine,True,1.0119672896831338,0.057598029097766935,0.5204124558196956
5,cosine,False,3.443789249073657,0.0,0.0
5,pearson,,1.6208460681336725,0.12200381036587934,0.0659432071196777
5,pearson,True,1.029342035852616,0.1068556630814669,0.6138419838080471
5,pearson,False,3.1527670390563647,0.0,0.0
10,cosine,,1.6865307192679277,0.003983665846463451,0.012003519356460534
10,cosine,True,0.8959938753419362,0.06396926279415839,0.5971223849051903
10,cosine,False,3.2947029118531317,0.0,0.0
10,pearson,,1.556037762590399,0.06538461538461537,0.02448466566113625
10,pearson,True,0.8937739254727604,0.10768016688353477,0.6804583362841281
10,pearson,False,3.108055104100723,0.0,0.0
15,cosine,,1.580321621822801,0.0036853390511927095,0.005467571644042232
15,cosine,True,0.8594182764003898,0.06668651800734404,0.6338772746860981
15,cosine,False,3.187360722938659,0.0,0.0
15,pearson,,1.5110158904301572,0.02564102564102564,0.028205128205128202
15,pearson,True,0.8467777369880352,0.10184400034793858,0.6933362860116253
15,pearson,False,3.079923513651875,0.0,0.0
20,cosine,,1.5368918325547336,0.0,0.0
20,cosine,True,0.8239169239533419,0.07070417438879482,0.683563821799116
20,cosine,False,3.141953257526321,0.0,0.0
20,pearson,,1.4695099859908916,0.009615384615384616,0.008547008547008546
20,pearson,True,0.8302799395156089,0.10214318087830747,0.7280746245961177
20,pearson,False,3.048843736375073,0.0,0.0
25,cosine,,1.49487450757611,0.0,0.0
25,cosine,True,0.8098459044606678,0.07294096413522783,0.7167109850933381
25,cosine,False,3.1008043930762828,0.0,0.0
25,pearson,,1.443822590805666,0.013986013986013986,0.017094017094017092
25,pearson,True,0.8262169040792378,0.10476015289958061,0.7681503765214175
25,pearson,False,3.025663041986458,0.0,0.0
