N,Similarity,Favor Popular,MAE,Precision,Recall
5,cosine,,1.3933622874306995,0.010614030422974275,0.06035982789847001
5,cosine,True,1.2056652878087677,0.010590858416945374,0.061839117839298414
5,cosine,False,2.874927822918997,0.00988049149829285,0.04317583470248281
10,cosine,,1.3007254020882544,0.010659271609648692,0.061839117839298414
10,cosine,True,1.1198881088946613,0.010590858416945374,0.061839117839298414
10,cosine,False,2.8170124846820506,0.010865768889250707,0.04897246325023579
15,cosine,,1.2605047988325941,0.010598995841775911,0.061839117839298414
15,cosine,True,1.0593937783903034,0.010590858416945374,0.061839117839298414
15,cosine,False,2.8068387485715163,0.01154243383970303,0.05244383085203819
20,cosine,,1.2354401675254776,0.010590858416945374,0.061839117839298414
20,cosine,True,1.0326912823556296,0.010590858416945374,0.061839117839298414
20,cosine,False,2.7925602590034617,0.011955023751728164,0.05399913173844274
25,cosine,,1.2094528571267187,0.010590858416945374,0.061839117839298414
25,cosine,True,1.0143601458813727,0.010590858416945374,0.061839117839298414
25,cosine,False,2.781302408116082,0.01146482704569038,0.05251984179761435
